id,open_edges
1089,6783-6914
1090,6802-21673-21689
1091,6806-8006
1092,6821-16075
1093,6887
1094,6899
1095,6904-6946
1096,6908
1097,6920
1098,6927-20390-20392
1099,6928
1100,6931
1101,6938
1102,6944
1103,6951-7805-8541-8829
1104,6953-6959-42790-44432-44435-56633
1105,6954-7330
1106,6962-7214
1107,6964-7091
1108,6971-6973
1109,6975
1110,6976
1111,6982
1112,6986
1113,6989-7297-9040
1114,6994-8874
1115,6996-6998-7004-7020-8710-10720-11558-11581-12906-13674-14778-15218-15410-15538-15544-15688-16394-16697-17154-17282-18132-18584-19562-20094-20238-20630-21590-21644-21999-22644-22676-23200-23338-23790-23887-23892-23914-24018-24318-24738-25622-26052-26300-26590-26642-26824-26856-26996-27168-27365-27658-28128-28152-28254-28444-28852-29190-29408-29948-30044-30253-30704-31110-31484-31606-31918-33220-34657-34812-35114-36610-37976-38036-38482-39204-39296-39346-39418-39560-40492-40592-40776-40778-41238-41478-42018-42360-42626-43324-44356-44428-44585-45222-46140-46266-47190-48394-49050-50166-52918-53114-53940-54148-54570-55336-55678-56246-58086-58701-60872
1116,7000
1117,7005
1118,7008
1119,7013-7016-7390-8529-8539-8636-8675-16301-18016-18137-21185-21311-21355-21514-22171-22607-22733-26030-26586-28697-36995-40025-42495-48215-49749-52789
1120,7030
1121,7038
1122,7044-7708-12622
1123,7048-7738
1124,7055-7057
1125,7058-15801-15802-15804-15807-15809-15810-15812-15814-15856-16625-16948-16950
1126,7061
1127,7067-7439-8461-16543-16545-18555-18557-19269-21039-21079-25147-28037
1128,7068-7070-7398
1129,7072-7074-8933-10093-16705-23693-33331-36113
1130,7076-7179-7511-11304-11306-11314-11320-11322-11324-11326-11328-11411-11413-11414-11417-11419-11420-11428-11430-11432-11528-11576-15585-15630-17720-20512-21174-25201-28020-31830-33048-33050-33068-36086-36134-40028-40030-42500-43220-44250-44425-49811-50582-58123
1131,7081
1132,7082
1133,7092
1134,7094-9196-13333-13420-13571-16211
1135,7098
1136,7100-7103-7104-7108-7110-7113-7118-7121-18865-18867-22348
1137,7114-7116-25648-31566-39762-39980-44102-44124
1138,7128-7131-7132-7134-8456-15752-17644
1139,7137-7138-7148-7150-7152-7154-7156-7158-7160-7162-7189-7256-7755-7756-7758-7760-7765-7770-7772-7774-7778-7781-7846-7921-7923-7927-7928-8252-8254-8496-8698-8759-8764-8880-8882-22422-22438
1140,7143
1141,7144-10932-10934
1142,7147
1143,7165-7898-10364-13391-20097-23251-40981
1144,7168-7170
1145,7173
1146,7178
1147,7182
1148,7185
1149,7187-7623-43559
1150,7200-8115
1151,7203-7368-8194-10716-12223-13561-13670-15697-16902-18775-20207-20488-20642-24394-24742-25862-27212-27216-27411-28524-32799-35367-37284-40932-47630-52699-52787-57342-57344-57348-57380-57434-57481-57508-57911-58100-58754-59067-59135-59286-59310-59415-59482-59642-60144-60342-60533-60605-60701
1152,7205-7768-15674-28672-28676-28694-28982-29854-30490-35182
1153,7206
1154,7209-7749
1155,7210
1156,7216-7306-7382
1157,7218-14635-14681-48242-48244-51200-51214
1158,7233
1159,7235-7240
1160,7238-12429
1161,7244-12007-12310-12693-27777-27778
1162,7247
1163,7252-9311-9312-18942-24159-36853
1164,7254-7340-16086
1165,7261-7263-7264-7272-8204-8209-12180-12183-12184-12186-13848-17936-32742-32744-32746-32749-32751-32904
1166,7270
1167,7274
1168,7282
1169,7284-7286-7288
1170,7293
1171,7295-8105
1172,7302
1173,7304
1174,7311
1175,7313-7315-8030-8257-8937
1176,7319-7876-8446-13267
1177,7320-7480-15105
1178,7322-7380-7424
1179,7325-8737-13980-17998
1180,7327-8852
1181,7332
1182,7334
1183,7336
1184,7343-23453-23455
1185,7344
1186,7350-8186
1187,7353
1188,7356-7837-13133-46923
1189,7363-7365
1190,7371-7531-7816-8109-14357-21537
1191,7373
1192,7376
1193,7397-18925-20125-21197-21211-25211-25213-25219-25259-25261-25693-25917-26137-26617-27045-29135-29977-29979-29981-30215-30385-30555-31765-32925-33007-33951-34143-34237-34249-37119-37234-42601-43027-43368-44391-45225-45899-46039-46821-46825-46887-47290-49037-51029-54619-56772-58074-58397-59786-59849-60029-60253-60425
1194,7401-7413-7415-7417-7419-7423-8709-11563-12677-13285-13626-15665-16429-16449-20563-44065
1195,7404
1196,7406
1197,7420
1198,7440-10841
1199,7442-7444-7447-8657-15146-15149-15151-15645-15649
1200,7450-11629-17001-20771-20779-22803-24736-26143-29151-30352-34519-34629-35940-36955-37559-38372-39533-40099-40591-41610-45282-45909-49167
1201,7460
1202,7467-7488-7581
1203,7486-9510-12088-14238-17457-44934-45024-45074-45080-48274-48420-49230
1204,7494-7593
1205,7498-7508-7535-8738-8943-9039-9153-9690-9797-10824-12493-13110-13352-13368-13487-14038-14487-15693-16065-16147-16321-16522-16860-17575-17809-18109-18639-18881-18970-19029-19098-19548-20222-20701-21529-21793-22052-22146-22516-23179-23229-23347-23355-23360-23380-23396-23409-23468-23569-23580-23839-23935-23986-24273-24772-24775-24776-24780-24799-24811-24846-24884-25205-25480-25561-25571-25669-27549-28545-28546-29282-29585-29639-29862-29865-29867-29869-30395-30414-30606-30709-30721-30733-31036-31104-31379-31440-31761-32421-32425-32433-32516-32527-32634-32789-33057-33432-33592-34062-34065-34068-34332-34353-34548-34846-34858-35024-35049-35349-36216-36449-36815-36940-38149-38167-38817-39665-39925-40335-40901-42175-42341-43876-44008-45312-45505-45986-46767-47168-47401-47996-48275-49017-50002-50359-50460-50795-52155-52521-52618-53091-53111-53571-53781-54051-54296-55091-55744-55750-55765-55804-56432-56640-57112-57244-57261-57536-58113-58634-58832-59002-59260-59439-59948-59976-60383-60401-60625
1206,7507-7636-18117
1207,7518
1208,7520
1209,7538
1210,7540
1211,7545-7547-7555-7557-7559-7560-27763-27767-27768-28003-28715
1212,7552
1213,7562-7888-7947-8065-8234
1214,7564-7615
1215,7567
1216,7569
1217,7570
1218,7572-7578-7703-7706-7717-7745-7786-7792-7803-7813-7862-7865-12584-14431-14433-14434-14436-14438-16245-24162-30254-50072-57837
1219,7574
1220,7585-7591
1221,7587
1222,7588
1223,7595-7597-7599-7601-38113-38133
1224,7603-7893
1225,7606-20332-48475
1226,7613-7616-14733
1227,7620
1228,7634
1229,7639-25143-54918
1230,7640
1231,7643
1232,7645-45349
1233,7650
1234,7655
1235,7656
1236,7659-7783-8123-21816-21820-25269
1237,7661-7669
1238,7663-7729-8663-8721-9385-23651-29452-32701-32737
1239,7665-19552
1240,7666-7670-7690-7789-7878-7881-7891-7960-7962-7970-7972-8056-9556-10372-17060-19686-20079-20998-25389-33453-37459-39251-49880
1241,7672-8233-8249-8459-8561-8584-8673-8689-9057-12554-12825-14757-14919-16617-24063-24067-24091-24193-24194-28215-28664-34616-43353-43425
1242,7674-11869-14516-14518-14572
1243,7677
1244,7678
1245,7696-8160-9322-10768-10770-10772
1246,7705-7710-7712-8167-8392-13052-14972-20236-22492-23672-30334
1247,7714-9443-9688-9698-14514-15254-15592
1248,7718-7721
1249,7723-7777
1250,7726
1251,7741-8069-8192-10807-11965-43200
1252,7742
1253,7751-7753-8445-11313-40680
1254,7762
1255,7766
1256,7776-23017-23177-24077-24465-24494-37453-39940
1257,7785-7807
1258,7791-8176
1259,7794-7796-8980-10060-13086-22796-25157-26288-26720-29550-30354-31152-31498-31543-32148-33212-33324-42426-42586-42816-43344-43569-44308-47677-47978
1260,7799
1261,7808-7810-7833-13042-13836-15308-15310-18056-18058
1262,7814-18893
1263,7824-16953
1264,7828
1265,7839-30703
1266,7840-8360-8362-8364-8806-8809-8811-9098-16328-16330-17238-18250-57496-57498
1267,7843
1268,7851-7859-8066
1269,7852-9258-10785
1270,7854
1271,7856-8658
1272,7867
1273,7869
1274,7870
1275,7873-7875-8666-8747-10379-10398-11276-11408-11950-13181-13209-15772-16761-16774-16777-17159-17267-17366-17371-17375-17832-19657-19833-20021-20237-21047-21871-21891-21894-21899-22724-23178-23784-23786-23921-24365-24366-27143-27144-34545
1276,7879
1277,7896-7912-8858-9108-9194-41052
1278,7905-8141-8266-8270-11729
1279,7906
1280,7908
1281,7910-12289-12290
1282,7918-14645-15229-16530-23733-32690-32693-47559-54381-60524-60666
1283,7951-9294
1284,7961-8400-10833-10931-11474-13064-16439-16464-16567-21158-24182-24243-33493-33729-33835-33950-46103-48603-51887-53617-55463-56727-56903
1285,7964-7967-14701-14791
1286,7968
1287,7974
1288,7979-7984-7986
1289,7988-8470
1290,8036-10673-10837-13497-13943-15058-15200-20366-20439-21238-23037-26529-27251-30718-30788-31450-32823-34206-34658-37601-39237-58076
1291,8052-11773
1292,8070
1293,8074-8135-12790-12792-12831-12834-12844-12858-12861-12925-12974-13004-13007-13143-13145-13147-13148-13151-13161-14786-14789-14844-14920-14925-15552-15589-15664-15714-15721-15762-17029-17034-17038-17087-18448-20405-20429-20624-20791-21204-21296-22283-22419-22682-23449-23450-23459-23473-31821-32011-32092-32811-33772-35153-40154-57175
1294,8078
1295,8082
1296,8084
1297,8087
1298,8090-8092-8094-8096-20613-20615-20617-20619-20620-20623-20625-20626-20628-21908
1299,8098-8527
1300,8101
1301,8102
1302,8112-8622-8688-10871-15910-18792
1303,8119-8128
1304,8120-8130-8414
1305,8122-8390-17774-24438-31092-35780-35814-35928-40398
1306,8142-8147
1307,8145-8158-8182-8196-8219-8223
1308,8148-12452
1309,8150
1310,8152-8154-25893-38312-38320
1311,8156-10004
1312,8162-8570
1313,8174-21976-24870-32402-57528-59020-59270
1314,8178
1315,8189-11743-11791-11807-27099-27101
1316,8198
1317,8215-8997-10413
1318,8224-21482-25963-39121
1319,8228-10777-10787-21977-37741-41069-59149
1320,8230-33507-33617-33949
1321,8237-8825-9035-12547-12875-14575-19675-19875-23837-24907-34703-37349
1322,8239-9145-9254-9261-9276-9286-9289-9290-9292-12890
1323,8242-8262-8703-8706-8781-11204-11232
1324,8245-8247-8535-8591-8619-8707-8799-8823-8863-8875-8879-9041-9111-9223-9347-9363-9364-9445-9451-10669-11255-11647-11659-11723-11775-12077-12153-12245-12373-13831-13857-13910-15109-15285-15819-17139-17141-18067-18589-19931-20299-21233-21297-22981-23555-24083-25453-25979-31559-35497-36701-39281-39777-41331-43111-45443-50129-50131-50133-50135-50136-50139-53269-53786-56689-58685-58897-59307
1325,8276
1326,8279-47151
1327,8380-8493-17626-17666-17668-29915
1328,8397
1329,8408
1330,8413-28463
1331,8416
1332,8418-20718
1333,8420-15192-15194
1334,8424
1335,8426
1336,8430
1337,8436
1338,8439
1339,8442-9685-10883-23705-26661-26731-27943-29677-50271-58155
1340,8448-18265-52191
1341,8450
1342,8452
1343,8454
1344,8468
1345,8476-8505-8507-8508-8588-8641-8647-8648-11936-11940-13490-14642-15578-17115-19714-20572-24832
1346,8478
1347,8485-10811-11257-12015-13450-13499-13521-13558-16251-17383-18151-18579-19035-19231-19383-19415-19575-19709-19723-19725-20179-26015-26681-28373-29969-30069-30271-30289-33833-36029-36691-37220-38111-38927-40497-40848-41211-42515-42517-42519-42543-42701-43003-43817-44517-55715-57717-57890-58185
1348,8503-40836-45251-48047
1349,8512-8564
1350,8519-8521-9137-10795
1351,8525-8911-8917-9461-9581-9676-13090-13386-18417-20205-21315-23404-23865-24297-24350-24381-24598-25360-25491-25610-26379-26422-26437-26834-27000-27110-27114-27171-28547-29332-30222-30331-30869-31959-33442-34067-34069-34438-34563-37062-40069-40303-41193-43015-43257-44497-45328-46481-47129-47145-48667-50353-51680-51686-53686-54692-55573-57136-58070-59060-59879-60037-60495
1352,8536-10967-11561-25273-25274
1353,8562-8939-23932-23948-23950-23961-23965-23966-23973-23978-23981-23992-24004-26998-27926-39032-53307-54986
1354,8572-11366
1355,8574
1356,8592-19504-19506
1357,8596-13605
1358,8610
1359,8612
1360,8614
1361,8620-8629-8635-8645-8984-9127-15119
1362,8633
1363,8638-16940
1364,8653-8749-11980
1365,8654
1366,8664
1367,8669
1368,8683-8803-10697-11977
1369,8684
1370,8694-9435-10983
1371,8696-8834-9016-9102-9104-9106-10380-11264-13310-13360-13398-13494-14674-14676-18666-19740-21584-21782-21917-22282-23010-24066-24090-44912-49124-54686
1372,8711
1373,8722-14968
1374,8730-13357-14140-15894-23731
1375,8733-16575-17015-19991-23603-24741
1376,8740-9014-9262-9264-9269-9271-9275-10431-10507-10510
1377,8741-14668-16165-32323-35430-36773
1378,8743-22443-22445
1379,8744
1380,8751-8753-14259-14261-19727
1381,8755-8775-8777-8779-8783-8785-8786-8788-10821-11633-19480-19483-19485-19487-19489-19491-19499-19503
1382,8757
1383,8763-9139
1384,8767-8769-8770
1385,8772
1386,8791-11918
1387,8793
1388,8795
1389,8798-8822-11271
1390,8801-19463-41271
1391,8805-8813-8814-11539
1392,8817-11101-11259-20853-20855-20857-20859-54475
1393,8818-8824
1394,8820
1395,8839-10826
1396,8847-9257-15713
1397,8849-13233-21727-21728-23640-26301-26302-27921-48694
1398,8851-21609
1399,8855-8857
1400,8860
1401,8864-8872-11510
1402,8866
1403,8868-9089
1404,8871
1405,8876-10468-15132-21822-44502-44504-52850-52874-52876-52878-56594-56596-57066
1406,8895
1407,8908-8924
1408,8926-8928-8944
1409,8934
1410,8956
1411,8972
1412,8974
1413,8986
1414,9010-9073
1415,9018-47148-51800-59006
1416,9022-11439-11449-18038-18040
1417,9030-24068
1418,9048-17688-17690
1419,9052-9133-9135-20922-20971-21944-23031-23110-27669-29321-29331-29569-29671-30416-32234-32530-32595-32601-32930-33359-34827-35002-35435-35840-36517-37784-38577-38607-38609-38665-39337-39954-40201-45462-45834-45935-48011-49847-51823-52445-53313-55326-56043-56045-56047-58623-59647
1420,9059-9061-9062-9065-9067-9069-9071-9511-13939-18141-18327-18593-20209-20777-31065-38693
1421,9077-9079-9081-9128-9130-10069-12107-15120-16688-16700-21153-21695-22811-23282
1422,9082-41888-44640
1423,9085-9087
1424,9091-9092-9094-10678-10680
1425,9100
1426,9112-11795-12759-23004-25803-30946-31388-32798-34746-34760-34840-34900-35115-35130-36172-37165-37207-37487-37536-37539-37642-38026-38509-38560-38608-39760-39942-42762-43942-46822-47399-50968-51818-52779-52950-54869-56985-59252
1427,9140-9199
1428,9143
1429,9146-15691-15701-17995-18015-42120-42123
1430,9149-9252-9358
1431,9151-10003-10775-11887-12895-18809-19055-20717-23687-33479-35827
1432,9157-9240
1433,9174-9184-9186-9189-9190-10735-10736
1434,9176
1435,9179
1436,9181-12263-13263-16005-16007-17057-17283-17423-17427-18133-18533-18919-18947-19699-21333-22061-22341-22795-22827-24181-24933-26620-27259-27509-27521-27589-27735-29153-29421-29444-29591-29595-29619-29821-29917-29925-30081-30139-30313-30363-30433-30603-30611-30705-30717-30719-30789-30795-31083-32363-33179-33498-33567-33571-33773-33783-33785-34207-34209-34505-34755-35025-35027-35029-36879-36943-36945-37058-37063-37091-37169-37627-37705-38567-38573-38575-38603-38605-38709-39049-39451-39593-39595-39700-39703-39745-39759-39909-40107-41197-41235-41237-41239-41241-41255-41281-43359-43361-43363-43365-43367-43369-43371-43373-43375-43633-44589-44855-44959-45137-45427-45433-45545-45997-46591-46869-47897-47899-47901-47903-47905-47907-47909-47911-47913-47915-47917-47919-47921-48019-48838-48872-49081-49679-49695-49985-52459-52461-52463-52465-52467-52469-52471-52473-52475-52477-52479-52716-52829-52831-53423-53429-53677-53955-54735-55129-55131-55133-55135-55137-55139-55141-55143-55145-55147-55149-55151-55153-55154-55525-55567-55741-56025-56687-58057-58059-58061-58063-58065-58067-58069-58071-58073-58075-58077-58079-58109-58553-58933-59969-59971-59973-59975-59977-59979-59981-60385-60403
1437,9192-9433-27856-53026-56908-57083-57134-58042
1438,9200-9202-9204-9206-9208-9211-9212-9215-9216-9218-9220-9222-9224-9338-9346-9348-9352-9362-9416-12372-12596-13595-14106-15408-15518-21967-22224-22265-22730-22979-26062-33260-33357-34176-37248-37594-37858-38973-39028-40660-43006-52508-57714-57941
1439,9227-11043-14997
1440,9229
1441,9233
1442,9234-9237-9239-10512-10940-11875-13216-15473-15861-16311-16382-16535-16782-17215-17325-17883-17969-18181-18187-18626-19022-19251-19377-19611-19777-19858-19919-21166-21230-35401-36753-36755
1443,9244
1444,9248
1445,9251
1446,9267-9273-21956-21959-24286
1447,9278-9281-9283-9285
1448,9296-9302-9319-11762-11764-11766-11768-11770-11777-11779-11784-11786-11789-11886-11948-11962-12419-12420-12685-13083-18062
1449,9300-11488
1450,9308
1451,9316
1452,9320
1453,9324-9326-9328-9341-9345-9350-32290
1454,9330-9332-9334-16730
1455,9337-9365-9367
1456,9342-13104-22775-22777-23320-33003-34917-41129-59580
1457,9354-9360
1458,9371
1459,9372-9376
1460,9374-10383-10386-10388-12771-14949-23755
1461,9388
1462,9393-9399-15241-15243-15496-17321
1463,9394-9403-9404-9406-9408-23630-26950-51324
1464,9400
1465,9411-13062
1466,9413
1467,9419
1468,9436
1469,9439-9453-12361-12625-24287-25579-35725-48367
1470,9450-9495
1471,9454-9456
1472,9468
1473,9470-9474-9476-9497-9499-9502-9512-9514-9520-9533-9537-9538-9549-9555-9557-9564-9594-9596-9602-9633-9640-9656-9695-9730-9805-9806-9808-9816-9822-9836-9844-9846-9866-9876-9907-9917-9939-9940-9943-9962-9966-9992-10018-10026-10028-10038-10040-10061-10075-10108-10187-10222-10226-10256-10291-10346-10363-10370-10394-10396-10406-10409-10410-10412-10414-10440-10442-10444-10446-10482-10509-10522-10525-10551-10580-10587-10655-10659-10672-10704-10717-10943-11044-11149-11357-11589-11603-11861-11914-12187-12203-12260-12269-12408-12533-12706-12785-12905-12948-12981-13399-13491-13575-13717-13756-13758-13790-13794-13874-13895-13946-14084-14507-14550-14584-14740-14824-14846-15398-15636-15646-15753-15994-16341-16626-16865-16896-16945-17307-17377-17387-17412-17901-17938-18208-18218-18406-18539-18619-18939-18965-19296-19545-19715-19975-20014-20296-21042-21422-22368-22593-22650-22906-23583-24358-24862-25005-26064-26312-26523-26837-26896-27430-27465-27982-28054-28292-28603-29555-30746-30819-30990-31088-31130-31227-31371-31404-31435-31969-32048-32233-33087-33124-33881-34051-34226-35961-36762-37100-37263-37334-37760-38201-38209-38303-38909-39012-39190-40252-40652-46683-49696-50113-51073-51542-51748-52759-56509-56627-57953-59653-60379-60526
1474,9473-9481-9482-9500-9543-9544-9577-9579-9613-9615-9629-9641-9645-9646-9651-9659-9669-9677-9687-9693-9700-9749-9751-9752-9754-9756-9759-9868-9899-9949-9961-9969-9972-9975-9983-9984-9990-10023-10027-10045-10052-10055-10057-10062-10065-10101-10126-10172-10189-10200-10220-10450-10462-10465-10467-10469-10471-10472-10541-10557-10561-10565-10566-10569-10584-10591-10592-10595-10614-10617-10619-10643-10671-10693-10699-10714-10719-10721-10723-10726-11046-11091-11136-11155-11157-11163-11406-11422-11429-11615-11623-11855-11925-12043-12103-12185-12288-12939-13177-13252-13347-13349-13373-13384-13393-13603-13604-13719-13725-13785-13877-13987-14182-14207-14731-15141-15166-15350-15355-15451-15571-15573-16426-16448-16477-16800-16875-16942-17011-17234-17401-17530-17706-17735-17746-17761-17783-17937-17941-17942-17945-17984-18459-18506-18629-18695-19031-19061-19092-19252-20388-20471-20621-20675-20964-21017-21147-21157-21170-21173-21180-21183-21187-21269-21317-21414-21418-21580-21945-22031-22321-22413-22587-22591-23105-23127-23199-23245-23279-23397-23594-23845-24797-24819-25247-25479-25915-26211-26217-26772-26799-26886-26944-27634-28812-29270-29325-29721-30839-31011-31061-31079-31095-31160-31455-31457-31557-31739-32039-32156-32180-32350-32850-33461-34043-35232-36245-36352-36535-36630-36817-37340-37743-37791-38225-38227-38407-38728-38781-39127-39289-40399-40500-41418-41646-42412-43527-46679-50059-50124-51941-52240-53894-55377-56483-56692-58979-59079-59356
1475,9478-9516-9518-9522-9524-9526-9529-9530-9541-9546-9554-9578-9604-9617-9620-9680-9684-9744-9746-9782-9827-9841-9864-9882-9884-9890-9894-9897-9904-9906-9944-9956-9964-10013-10042-10044-10072-10074-10076-10092-10130-10168-10184-10244-10267-10287-10300-10336-10340-10366-10369-10374-10381-10393-10437-10438-10528-10530-10532-10534-10536-10548-10553-10554-10574-10579-10606-10609-10610-10620-10809-10817-10819-10829-10843-10947-10949-11081-11176-11446-11452-11562-11577-11964-12000-12281-12576-12658-12694-12947-13080-13338-13354-13390-13431-13461-13492-13695-13733-13768-13778-13782-13792-13825-13854-14060-14068-14158-14200-14209-14214-14352-14354-14388-14429-14859-15004-15114-15164-15263-15317-15354-15371-15372-15442-15477-15617-15833-16087-16316-16332-16438-16574-16946-17022-17174-17397-17514-17548-17594-17900-17958-17964-18092-18178-18346-18408-18750-18778-19020-19193-19413-19586-19667-19677-19914-20198-20254-20258-20309-20597-20676-20818-21165-21175-21646-21771-22286-22350-22594-22898-22973-23034-23253-23259-23309-24401-24844-25986-26035-26240-26336-26456-26732-26906-27204-27379-27420-28114-28369-28641-29230-29587-29697-29738-30376-30552-30620-30956-30968-31169-31171-31437-31516-31926-32364-32889-33077-33097-33116-33174-33239-33882-33890-34036-34931-36578-37120-37276-37353-37414-37532-38258-38387-38393-38666-38774-38778-39042-39347-40567-41323-41416-41436-41442-41868-42226-42605-42756-42783-42875-43195-43974-45396-46527-50120-50524-50973-51431-52677-53159-55844-56210-57902-59528-59708-60578
1476,9485-9486-9561-9565-9567-9569-9572-9574-9586-9591-9597-9607-9609-9611-9614-9619-9621-9634-9636-9642-9653-9655-9661-9662-9664-9672-9696-9712-9715-9717-9719-9739-9740-9742-9807-9821-9870-9873-9874-9905-9909-9921-9923-9925-10001-10056-10067-10077-10078-10080-10115-10121-10158-10214-10248-10288-10326-10365-10400-10434-10489-10491-10492-10513-10515-10517-10518-10520-10538-10602-10637-10691-10815-10823-10825-10831-10836-10838-10840-10861-10881-10882-10935-10939-11087-11120-11123-11143-11185-11395-11441-11605-11785-11888-12215-12621-13008-13383-13421-13426-13459-13675-13899-14089-14193-14203-14427-14437-14664-14777-14929-15021-15091-15223-15233-15245-15343-15467-15656-15838-15855-16159-16177-16383-16390-16494-16783-17133-17229-17237-17528-17544-17601-17635-17642-17713-18017-18091-18269-18501-19015-19023-19036-19368-19507-19811-20522-20603-20673-21074-21167-21188-21191-21202-21426-21439-21457-21718-23985-24571-24855-25374-25461-25576-25750-25903-25910-26425-26449-26465-26499-26787-26908-27191-27231-27493-27766-27962-28101-28116-28134-28253-28541-28659-28673-28717-28921-29091-29225-29334-30037-30087-30695-30973-32319-32943-32947-34221-34239-34756-34925-35017-35360-36147-36597-36975-37105-38202-38218-38487-38967-39130-40737-40745-40838-40856-43565-44578-49829-50066-50098-52675-54322-55597-55609-57735
1477,9489-9491-9492-9551-9553-9559-9562-9571-9588-9603-9606-9622-9625-9627-9631-9638-9648-9666-9689-9691-9699-9716-9720-9828-9831-9832-9834-9893-9913-9919-9926-9941-9971-9980-9982-10014-10025-10029-10033-10034-10037-10043-10058-10064-10066-10071-10086-10088-10228-10238-10254-10268-10344-10352-10390-10402-10420-10423-10424-10430-10433-10475-10476-10478-10481-10542-10544-10547-10558-10572-10601-10612-10641-10644-10653-10657-10683-10694-10701-10706-10709-10724-10806-10832-10878-10918-11026-11040-11042-11077-11183-11256-11329-11335-11375-11378-11515-11666-11825-11909-11994-12210-12325-12404-12575-12661-12743-12866-12897-12931-13137-13187-13336-13350-13370-13387-13789-13796-13801-13865-13942-14096-14198-14205-14293-14535-14682-14795-15257-15281-15318-15353-15575-15601-15609-15613-15631-16021-16105-16173-16305-16353-16506-16603-16883-17269-17287-17512-17671-17763-17789-17946-18024-18033-18157-18175-18203-18347-18413-18453-18699-19404-19697-19731-19993-20469-20671-21026-21036-21155-21161-21177-21193-21250-21351-21401-21424-21434-21576-21679-21968-21990-22169-22428-22507-22589-22729-22787-22791-23223-23238-23307-23487-24391-25067-25563-26193-26213-26406-26492-26565-26801-26882-26924-27289-27293-28989-29320-29353-29552-29753-30706-31202-31938-32673-32783-34889-35098-35797-35824-36571-37333-38205-38215-38260-38906-39227-39308-39318-40612-41108-41425-42575-42829-43275-44411-46012-47275-47377-47445-48650-49199-50108-50546-51149-52603-52733-54581-54732-56863-59262-59288
1478,9506
1479,9508
1480,9535-12882
1481,9583
1482,9673-9697-12047-14985
1483,9999-19570
1484,10006-11002
1485,10021-10385-10687-11011-11013-11014-11036-11041-11045-11047-11187
1486,10031
1487,10342
1488,10371
1489,10395
1490,10404
1491,10654
1492,10670-11708
1493,10676-19426
1494,10684-10948-10990-13372-13428-13432-13510-13536-21376-21622
1495,10702-10834-16856-17220
1496,10707-18607-40997
1497,10710-13642-19259-20066-38157-40953
1498,10731-10805
1499,10742
1500,10750-10760-10762-10764
1501,10767-11022-12736-13139-13164-13296-14122-14124-14130-14289-14365-15711-17156-18637-19034-20575-20648-20653-20661-21713-22469-22471-22472-22800-22806-22809-22838-22937-22948-23033-23050-23068-24298-25456-25616-25770-25941-26038-26668-28972-29829-30550-31608-32247-34158-42698-43086-43904-44228-44230-44232-44441-44546-44548-45093-48738-48797-48855-55210-57541-59138-59388-60475
1502,10776-10786-19566-19753-27174
1503,10781
1504,10783-12243
1505,10801
1506,10808-10873-15267-18431-20663-47665-47666
1507,10846
1508,10848
1509,10850-10852-10855-10857-10858-22168-22170-22365-22366
1510,10860-12131
1511,10874
1512,10876-11492-11495
1513,10902-12913
1514,10907-11499
1515,10911
1516,10917-11239-11240-11631-11639
1517,10919-18025
1518,10922-13317-23684
1519,10937-11104-11110
1520,10942-10945
1521,10969-10973
1522,10980
1523,10984-10996-17272-17274-17276-17278-17280-17285-27145-48469
1524,10987-13833-16707-18923-20503-20517-20530-20650-20756-20900-20949-20987-21839-22248-22289-22921-24418-27317-28265-29121-32801-32912-33058-34763-36313-36883-38376-39625-39681-39693-42695-42919-43866-45385-46243-49112-58894
1525,10988
1526,10992
1527,10994-12370
1528,10999-11001-11917
1529,11004-11007-11009
1530,11016-18303-23717
1531,11029
1532,11030-11033-11394
1533,11035
1534,11039
1535,11097-11118
1536,11102
1537,11108-11113-11115-11116-11694-11700
1538,11191
1539,11192
1540,11194-11261-11262-11267-11389-11393-11540-11543-11575-11586-11624-11636-11650-11664-11690-11730-11732-11772-11802-11982-12121-12134-12163-12274-12492-12748-12750-12752-12755-12820-12972-13170-13348-13400-16636-17002-17170-17194-18386-18898-19438-20449-25196-25658-31697-31867-31880-31886-35996-36682-41570-41578-43116-46556-46566-46568-55416-59648
1541,11197
1542,11224-11279
1543,11227-11268-11591-11911-14108
1544,11243-11741-23191-23193-24097-24099-25185-25193-27617-27727-27973-30227-33223-40347-40359-45475
1545,11244
1546,11247-23249-43585
1547,11249-11293
1548,11253-13676-14961-15000
1549,11286-24685
1550,11290-11294
1551,11297-11368-11737-17242
1552,11300-12880-20744-23870-24674-27689-33722-39648-39976-47560
1553,11302-11514
1554,11309-11319-11334
1555,11332-11340-11342-11344-11796-17866-17868-17870-17872-17874-18534-20784-21186
1556,11338
1557,11347
1558,11348
1559,11350-11382-12032
1560,11356
1561,11359-11362
1562,11364
1563,11371
1564,11372-11374
1565,11379-21912
1566,11380-11582-12229-12829-13622-13688-15643-19970-24992
1567,11384-11588-11912
1568,11387-11801
1569,11390
1570,11398-11400-11434-11482-11646-11868
1571,11402
1572,11405-11407-11465
1573,11437
1574,11440-11443-11445-11447
1575,11453-11454-11463
1576,11457-11459-40789
1577,11468-11567
1578,11477-11478-11848
1579,11480-20551-36792
1580,11484
1581,11503-12801
1582,11505
1583,11509
1584,11512-12471-12534
1585,11520
1586,11524-11532-21062-21065-21097-21098-47274-47276-47278-47280-47660-47668
1587,11527-11531-11535-11536-11727-11731-16302-16454-17754-19363-40918-55195-57370
1588,11553-11555-11565-25065-25145
1589,11611
1590,11616
1591,11619-11653-11683
1592,11621
1593,11642
1594,11644
